delivery_id,driver_id,delivery_distance_meters,delivery_status
68425821,4190,3498,DELIVERED
68435227,2061,1935,DELIVERED
68432363,4190,4504,DELIVERED
68434341,28169,3778,DELIVERED
68432907,4190,2549,DELIVERED
68432509,510,3722,DELIVERED
68434497,28072,843,DELIVERED
68435678,,3958,CANCELLED
68435369,13527,711,DELIVERED
68433613,6161,1853,DELIVERED
68436531,4190,793,DELIVERED
68429213,15061,2975,DELIVERED
68423110,26879,2625,DELIVERED
68437283,726,1183,DELIVERED
68436387,7638,538,DELIVERED
68436230,731,1689,DELIVERED
68421917,22901,4283,DELIVERED
68436740,14059,907,DELIVERED
68427637,25651,2529,DELIVERED
68436552,2837,5303,DELIVERED
68435318,5623,2483,DELIVERED
68431370,25651,987,DELIVERED
68426427,9996,2591,DELIVERED
68434118,358,5500,DELIVERED
68432345,29077,3299,DELIVERED
68438409,28169,2217,DELIVERED
68432718,29077,1947,DELIVERED
68429127,19793,5775,DELIVERED
68431113,14621,764,DELIVERED
68437365,15661,3311,DELIVERED
68426187,9996,1299,DELIVERED
68437660,13117,1746,DELIVERED
68436696,5628,1619,DELIVERED
68435423,1113,918,DELIVERED
68437931,1405,2582,DELIVERED
68432421,15375,709,DELIVERED
68437768,10200,2921,DELIVERED
68438108,24715,2162,DELIVERED
68436742,29557,1543,DELIVERED
68437407,731,1644,DELIVERED
68437205,430,1186,DELIVERED
68436424,1113,3580,DELIVERED
68437859,25409,3364,DELIVERED
68437524,26075,1640,DELIVERED
68435251,1113,1207,DELIVERED
68436527,17322,742,DELIVERED
68433359,11263,378,DELIVERED
68432271,9025,1560,DELIVERED
68436885,26442,1014,DELIVERED
68437922,25651,5460,DELIVERED
68424216,17322,1452,DELIVERED
68437454,15834,6043,DELIVERED
68436739,23399,3689,DELIVERED
68438068,27294,2388,DELIVERED
68441676,5250,836,DELIVERED
68429379,25651,1458,DELIVERED
68437453,11615,3426,DELIVERED
68436652,23784,3198,DELIVERED
68425058,17322,1488,DELIVERED
68434849,26237,5250,DELIVERED
68440439,21454,3167,DELIVERED
68440579,21454,1806,DELIVERED
68438540,6161,4020,DELIVERED
68438889,6656,197,DELIVERED
68441235,4937,6214,DELIVERED
68439472,7767,5587,DELIVERED
68441631,21923,4104,DELIVERED
68436272,24584,1265,DELIVERED
68439210,5315,963,DELIVERED
68429530,7953,251,DELIVERED
68432367,14382,2363,DELIVERED
68441035,5128,2704,DELIVERED
68433064,14382,2624,DELIVERED
68431089,14382,2406,DELIVERED
68441870,5052,4346,DELIVERED
68440068,29966,3527,DELIVERED
68440577,30574,1216,DELIVERED
68438654,14666,1951,DELIVERED
68435117,10514,3101,DELIVERED
68435186,25689,4504,DELIVERED
68440673,2490,2477,DELIVERED
68443463,30574,340,DELIVERED
68435750,22198,747,DELIVERED
68435581,11466,3486,DELIVERED
68441526,319,2107,DELIVERED
68439642,15898,4573,DELIVERED
68442959,14702,2111,DELIVERED
68441630,20495,3736,DELIVERED
68438109,6165,1661,DELIVERED
68440320,29271,3480,DELIVERED
68441760,,1912,DELIVERED
68432184,12136,1944,DELIVERED
68439699,30574,1526,DELIVERED
68442124,30030,1407,DELIVERED
68444038,16430,1956,DELIVERED
68441428,13043,4988,DELIVERED
68441781,30030,676,DELIVERED
68441081,31132,4923,DELIVERED
68444687,3834,1714,DELIVERED
68442828,16496,1809,DELIVERED
68427968,25651,2541,DELIVERED
68442501,30854,2357,DELIVERED
68434998,17907,3054,DELIVERED
68444111,17477,2491,DELIVERED
68426996,14382,2582,DELIVERED
68442954,14513,3610,DELIVERED
68433305,15061,2463,DELIVERED
68427326,14382,2849,DELIVERED
68423436,8378,5052,DELIVERED
68442202,2061,1605,DELIVERED
68443528,23092,1766,DELIVERED
68440697,510,1110,DELIVERED
68417787,26879,2122,DELIVERED
68446409,9509,3846,DELIVERED
68445702,2945,1275,DELIVERED
68441807,28072,893,DELIVERED
68446266,9043,459,DELIVERED
68444148,14617,107,DELIVERED
68444436,888,4609,DELIVERED
68442941,2355,1399,DELIVERED
68446071,731,5354,DELIVERED
68448156,25409,2535,DELIVERED
68446946,5402,1135,DELIVERED
68447423,8266,2825,DELIVERED
68449298,25575,4255,DELIVERED
68441076,13117,2392,DELIVERED
68437423,28169,5066,DELIVERED
68445065,14511,1157,DELIVERED
68450634,13527,1523,DELIVERED
68448397,22499,522,DELIVERED
68447904,17749,3023,DELIVERED
68448694,12893,3774,DELIVERED
68447028,29451,2510,DELIVERED
68432718,29077,1947,DELIVERED
68447692,9828,734,DELIVERED
68444599,25651,4024,DELIVERED
68446350,21454,2046,DELIVERED
68448064,26075,1641,DELIVERED
68448661,21454,2079,DELIVERED
68443456,9600,692,DELIVERED
68447320,425,388,DELIVERED
68448484,30550,2632,DELIVERED
68449304,28171,516,DELIVERED
68447989,10200,3448,DELIVERED
68444862,5315,843,DELIVERED
68449165,7953,222,DELIVERED
68440275,7953,2839,DELIVERED
68438460,7953,2270,DELIVERED
68448704,7953,1365,DELIVERED
68427968,25651,2541,DELIVERED
68451967,430,843,DELIVERED
68438647,7953,2104,DELIVERED
68451358,6361,4184,DELIVERED
68453262,24997,1541,DELIVERED
68449192,17322,3130,DELIVERED
68445497,10832,207,DELIVERED
68448347,17322,3176,DELIVERED
68451076,23399,2112,DELIVERED
68449372,23399,2934,DELIVERED
68449164,6662,1757,DELIVERED
68431672,6161,2417,DELIVERED
68451887,20223,2444,DELIVERED
68451777,28165,2702,DELIVERED
68452175,1395,2051,DELIVERED
68437922,,5460,CANCELLED
68452051,9211,1270,DELIVERED
68448483,29077,3811,DELIVERED
68452052,726,335,DELIVERED
68451584,26442,3533,DELIVERED
68448693,512,3287,DELIVERED
68445800,22499,1447,DELIVERED
68444850,1113,451,DELIVERED
68457422,,530,CANCELLED
68451036,16496,3525,DELIVERED
68437451,19793,3051,DELIVERED
68441965,26785,3262,DELIVERED
68452246,8266,3099,DELIVERED
68453305,26588,1431,DELIVERED
68451149,5250,995,DELIVERED
68438198,9025,5460,DELIVERED
68449555,15898,5765,DELIVERED
68452054,5052,4617,DELIVERED
68452425,9043,2944,DELIVERED
68454481,7396,2040,DELIVERED
68451743,27700,383,DELIVERED
68453108,2473,288,DELIVERED
68452479,6675,759,DELIVERED
68455763,25651,2849,DELIVERED
68454488,25651,3771,DELIVERED
68454369,25588,1309,DELIVERED
68449158,6161,447,DELIVERED
68451632,888,1748,DELIVERED
68452451,11887,4471,DELIVERED
68451258,25651,4696,DELIVERED
68452508,26251,1637,DELIVERED
68451258,731,4696,DELIVERED
68453186,7995,676,DELIVERED
68454307,5628,2743,DELIVERED
68439120,10514,5987,DELIVERED
68454767,8958,1498,DELIVERED
68460384,,5574,CANCELLED
68455169,8940,2276,DELIVERED
68455272,10259,802,DELIVERED
68454205,17227,4011,DELIVERED
68453598,7638,2423,DELIVERED
68455270,9828,4168,DELIVERED
68453999,30030,691,DELIVERED
68452247,21454,1847,DELIVERED
68456344,31061,3944,DELIVERED
68457787,12023,339,DELIVERED
68452050,888,1615,DELIVERED
68456347,25409,2535,DELIVERED
68454768,15661,926,DELIVERED
68456909,10560,1666,DELIVERED
68457267,7280,487,DELIVERED
68456156,13117,1461,DELIVERED
68457154,5435,4145,DELIVERED
68460544,,2769,CANCELLED
68457393,938,627,DELIVERED
68456004,4190,2514,DELIVERED
68453961,4190,2514,DELIVERED
68458284,2905,1199,DELIVERED
68458710,31126,2006,DELIVERED
68457717,20495,5703,DELIVERED
68457114,1395,5657,DELIVERED
68458664,22260,1023,DELIVERED
68457722,2945,2024,DELIVERED
68456331,14382,697,DELIVERED
68457718,8378,3249,DELIVERED
68449165,7953,222,DELIVERED
68457071,8378,3693,DELIVERED
68458232,14382,1304,DELIVERED
68463805,,694,CANCELLED
68460440,31126,2264,DELIVERED
68427630,25651,818,DELIVERED
68432345,29077,3299,DELIVERED
68463202,9996,428,DELIVERED
68459220,29378,1626,DELIVERED
68451894,4977,466,DELIVERED
68452454,4977,153,DELIVERED
68461058,25651,4555,DELIVERED
68458971,4937,2042,DELIVERED
68461936,6165,1523,DELIVERED
68459049,12731,2452,DELIVERED
68457214,512,1114,DELIVERED
68461139,15561,2636,DELIVERED
68459982,5128,3126,DELIVERED
68450493,319,2146,DELIVERED
68441731,22901,4127,DELIVERED
68456270,3834,1076,DELIVERED
68441810,11263,4537,DELIVERED
68458833,26879,4499,DELIVERED
68462324,24584,2324,DELIVERED
68459178,22115,3300,DELIVERED
68460164,6161,1975,DELIVERED
68459306,510,1956,DELIVERED
68442190,24571,709,DELIVERED
68444027,24571,1455,DELIVERED
68463903,5226,1626,DELIVERED
68462845,29979,1826,DELIVERED
68461058,21454,4555,DELIVERED
68464727,28169,3514,DELIVERED
68462325,6656,2969,DELIVERED
68449158,21454,447,DELIVERED
68463065,25651,3121,DELIVERED
68462758,358,1837,DELIVERED
68462093,10514,729,DELIVERED
68463612,29979,4336,DELIVERED
68460539,30854,2315,DELIVERED
68453149,7615,2553,DELIVERED
68451505,10514,3733,DELIVERED
68464492,14702,4753,DELIVERED
68462267,17289,4830,DELIVERED
68461581,17322,1489,DELIVERED
68463631,28165,2625,DELIVERED
68463388,17749,5337,DELIVERED
68460223,17322,653,DELIVERED
68463752,10200,2954,DELIVERED
68464135,16430,3560,DELIVERED
68461688,6662,4931,DELIVERED
68461493,25651,4793,DELIVERED
68464454,13111,671,DELIVERED
68464418,7655,2608,DELIVERED
68464303,5052,3313,DELIVERED
68464417,7995,2826,DELIVERED
68464304,29077,1107,DELIVERED
68463108,28913,2856,DELIVERED
68464981,17227,2556,DELIVERED
68459647,29669,5837,DELIVERED
68464650,425,1780,DELIVERED
68463109,25689,1728,DELIVERED
68465692,5623,248,DELIVERED
68462846,5435,4273,DELIVERED
68465908,26319,4165,DELIVERED
68445199,,4234,CANCELLED
68462133,12136,1426,DELIVERED
68464984,25651,1066,DELIVERED
68465031,25651,1680,DELIVERED
68465137,25651,1555,DELIVERED
68466804,25651,2261,DELIVERED
68467601,25651,1970,DELIVERED
68450871,9025,1702,DELIVERED
68465139,12893,4872,DELIVERED
68464416,10614,4767,DELIVERED
68462102,11887,1680,DELIVERED
68462099,1113,896,DELIVERED
68464570,26251,1292,DELIVERED
68462314,1113,1747,DELIVERED
68465084,12077,600,DELIVERED
68464806,888,4406,DELIVERED
68465604,26075,4691,DELIVERED
68465593,25798,1578,DELIVERED
68465722,24997,1713,DELIVERED
68454552,2355,638,DELIVERED
68463612,6161,4336,DELIVERED
68467005,18862,1491,DELIVERED
68463387,22260,1276,DELIVERED
68463992,25651,227,DELIVERED
68466202,1405,699,DELIVERED
68466984,8266,5082,DELIVERED
68449067,24571,4262,DELIVERED
68467361,5628,3651,DELIVERED
68449782,15375,3387,DELIVERED
68465626,1395,1965,DELIVERED
68467597,25409,1667,DELIVERED
68467605,6974,2743,DELIVERED
68462949,22115,1959,DELIVERED
68467594,8266,3877,DELIVERED
68466754,9828,5508,DELIVERED
68465368,30030,1391,DELIVERED
68446638,,5133,DELIVERED
68440751,,1031,DELIVERED
68469540,6974,1754,DELIVERED
68442223,,3776,DELIVERED
68468306,731,5303,DELIVERED
68466108,24830,288,DELIVERED
68467656,358,1011,DELIVERED
68466707,9996,2207,DELIVERED
68466880,13527,1679,DELIVERED
68469643,29186,1038,DELIVERED
68464953,13527,6095,DELIVERED
68464554,2490,3952,DELIVERED
68470961,15834,1836,DELIVERED
68444599,,4024,DELIVERED
68465968,4190,2958,DELIVERED
68465795,4977,383,DELIVERED
68470483,28171,1811,DELIVERED
68468998,13527,2235,DELIVERED
68465683,4190,3169,DELIVERED
68469266,24715,1827,DELIVERED
68468914,28913,4441,DELIVERED
68469494,23093,970,DELIVERED
68452447,14757,4864,DELIVERED
68463992,25651,227,DELIVERED
68469930,22260,997,DELIVERED
68470448,22260,467,DELIVERED
68466335,31061,2556,DELIVERED
68468560,11887,1874,DELIVERED
68470384,512,1559,DELIVERED
68471231,726,1555,DELIVERED
68471499,25651,3585,DELIVERED
68471643,15061,3202,DELIVERED
68469541,28165,3306,DELIVERED
68470436,28165,4699,DELIVERED
68452361,11263,1867,DELIVERED
68472836,25651,1627,DELIVERED
68470373,25651,441,DELIVERED
68471507,25651,1959,DELIVERED
68473404,25651,2935,DELIVERED
68455353,7615,2511,DELIVERED
68472317,17227,2444,DELIVERED
68475205,,2135,CANCELLED
68462957,16430,4948,DELIVERED
68453600,,4808,CANCELLED
68473759,8266,2878,DELIVERED
68474769,14511,5287,DELIVERED
68471753,888,1485,DELIVERED
68456996,19793,5223,DELIVERED
68445893,11263,2467,DELIVERED
68474212,26879,5781,DELIVERED
68475170,30244,4916,DELIVERED
68470461,25409,2659,DELIVERED
68472872,5435,1694,DELIVERED
68474758,30879,1136,DELIVERED
68473268,357,1780,DELIVERED
68474116,23399,698,DELIVERED
68474446,14702,2074,DELIVERED
68471499,29979,3585,DELIVERED
68465604,6161,4691,DELIVERED
68473404,14382,2935,DELIVERED
68470373,14382,441,DELIVERED
68475894,13117,1487,DELIVERED
68475728,358,2111,DELIVERED
68464806,731,4406,DELIVERED
68451258,731,4696,DELIVERED
68460376,12731,709,DELIVERED
68475584,319,2215,DELIVERED
68461568,15375,2884,DELIVERED
68457470,4977,1058,DELIVERED
68471508,11887,2489,DELIVERED
68475990,9025,3740,DELIVERED
68479324,3478,367,DELIVERED
68478614,7953,441,DELIVERED
68472836,7953,1627,DELIVERED
68480124,2490,2135,DELIVERED
68471180,7953,1305,DELIVERED
68477257,1395,420,DELIVERED
68478064,1395,568,DELIVERED
68454488,,3771,CANCELLED
68470822,1113,3421,DELIVERED
68472872,5435,1694,DELIVERED
68475082,28913,1562,DELIVERED
68475999,12023,867,DELIVERED
68466754,17227,5508,DELIVERED
68474719,28913,1971,DELIVERED
68478454,31061,4518,DELIVERED
68476173,31132,4683,DELIVERED
68476080,9043,2365,DELIVERED
68479925,2473,1221,DELIVERED
68475894,7258,1487,DELIVERED
68477593,2061,975,DELIVERED
68479590,2905,822,DELIVERED
68471507,17322,1959,DELIVERED
68476555,358,2311,DELIVERED
68476859,7280,975,DELIVERED
68479631,7258,1232,DELIVERED
68469938,,573,DELIVERED
68463065,,3121,CANCELLED
68454515,11263,4259,DELIVERED
68474853,357,3653,DELIVERED
68464291,8378,4602,DELIVERED
68480496,9043,3240,DELIVERED
68479787,5052,2084,DELIVERED
68475736,6656,4026,DELIVERED
68461637,11263,722,DELIVERED
68468523,25651,2868,DELIVERED
68455763,,2849,CANCELLED
68461215,15061,2884,DELIVERED
68460278,11869,4718,DELIVERED
68479078,6974,1564,DELIVERED
68461004,15061,3975,DELIVERED
68481257,28169,400,DELIVERED
68482225,7655,1211,DELIVERED
68471785,23092,1185,DELIVERED
68483068,,1047,CANCELLED
68465137,,1555,CANCELLED
68479233,9996,1463,DELIVERED
68477372,25651,230,DELIVERED
68480601,24997,176,DELIVERED
68467005,9509,1491,DELIVERED
68477798,7468,2465,DELIVERED
68482996,31055,1248,DELIVERED
68464984,,1066,CANCELLED
68482005,23399,2688,DELIVERED
68479592,888,2582,DELIVERED
68475405,,4207,CANCELLED
68484295,17703,1177,DELIVERED
68482706,28165,6370,DELIVERED
68467008,29186,1219,DELIVERED
68483938,2355,2657,DELIVERED
68482136,5226,437,DELIVERED
68481970,13117,1463,DELIVERED
68477372,25651,230,DELIVERED
68482866,22217,1619,DELIVERED
68475996,1395,4076,DELIVERED
68484269,25409,486,DELIVERED
68477258,16430,3982,DELIVERED
68480121,16430,4867,DELIVERED
68483840,5226,1208,DELIVERED
68482388,25651,782,DELIVERED
68486130,5628,2097,DELIVERED
68484572,5435,1678,DELIVERED
68482388,17227,782,DELIVERED
68484730,7280,487,DELIVERED
68471498,,625,DELIVERED
68471445,,2680,DELIVERED
68486197,8958,4566,DELIVERED
68485923,8266,2748,DELIVERED
68483713,5052,3143,DELIVERED
68483169,12023,1130,DELIVERED
68484186,6675,1309,DELIVERED
68482359,25092,2409,DELIVERED
68484313,20223,1632,DELIVERED
68484423,28913,3977,DELIVERED
68484573,7468,4672,DELIVERED
68484314,14702,3080,DELIVERED
68465031,,1680,CANCELLED
68473855,19215,1084,DELIVERED
68444591,26879,4348,DELIVERED
68484842,358,3462,DELIVERED
68486448,25651,2150,DELIVERED
68487124,23399,3134,DELIVERED
68486448,23399,2150,DELIVERED
68476278,4190,4376,DELIVERED
68475901,7615,1909,DELIVERED
68475271,4190,3522,DELIVERED
68487327,17322,472,DELIVERED
68483781,25651,4074,DELIVERED
68487304,17322,445,DELIVERED
68488826,28169,5053,DELIVERED
68483781,9043,4074,DELIVERED
68489753,24715,1926,DELIVERED
68482225,14059,1211,DELIVERED
68488583,17227,3626,DELIVERED
68488447,9043,2430,DELIVERED
68484921,2905,1283,DELIVERED
68487317,3834,1065,DELIVERED
68479509,7953,2461,DELIVERED
68489350,2837,1403,DELIVERED
68481478,14382,3165,DELIVERED
68465795,4977,383,DELIVERED
68483086,14382,2420,DELIVERED
68467873,26588,937,DELIVERED
68476139,29669,1152,DELIVERED
68466804,,2261,CANCELLED
68487049,29815,1519,DELIVERED
68488118,430,245,DELIVERED
68491371,14382,2728,DELIVERED
68490751,7953,1275,DELIVERED
68492000,17907,4959,DELIVERED
68490898,28165,1913,DELIVERED
68490264,17289,5834,DELIVERED
68475901,20495,1909,DELIVERED
68461493,,4793,CANCELLED
68493359,2490,2639,DELIVERED
68490127,731,1847,DELIVERED
68494786,15231,1081,DELIVERED
68482035,7953,787,DELIVERED
68467601,,1970,CANCELLED
68494630,1113,2383,DELIVERED
68490282,24550,2394,DELIVERED
68483843,26223,3509,DELIVERED
68468523,26223,2868,DELIVERED
68482470,25651,3771,DELIVERED
68482470,5052,3771,DELIVERED
68482225,28217,1211,DELIVERED
68489170,25651,4699,DELIVERED
68494009,27294,2504,DELIVERED
68496273,12136,1702,DELIVERED
68494803,29979,1747,DELIVERED
68495930,17749,3042,DELIVERED
68495696,29341,2732,DELIVERED
68489170,27294,4699,DELIVERED
68490156,25651,5124,DELIVERED
68495102,888,447,DELIVERED
68490746,25651,3636,DELIVERED
68482277,1113,559,DELIVERED
68493384,6662,919,DELIVERED
68494526,726,557,DELIVERED
68494074,12023,2228,DELIVERED
68490156,23399,5124,DELIVERED
68494752,7280,503,DELIVERED
68490746,29966,3636,DELIVERED
68495340,7258,1468,DELIVERED
68479033,31126,4054,DELIVERED
68496272,14702,1961,DELIVERED
68494978,29966,4963,DELIVERED
68495173,10614,2499,DELIVERED
68494925,1395,3802,DELIVERED
68496519,6974,5208,DELIVERED
68494978,29966,4963,DELIVERED
68497141,29077,5840,DELIVERED
68487883,29077,6491,DELIVERED
68486469,29077,4806,DELIVERED
68497143,28755,1398,DELIVERED
68491367,25651,1835,DELIVERED
68491950,5300,1532,DELIVERED
68491367,20223,1835,DELIVERED
68498116,25588,6118,DELIVERED
68496784,5623,4621,DELIVERED
68498011,512,2179,DELIVERED
68500346,17703,1550,DELIVERED
68501641,25651,3245,DELIVERED
68500500,12136,2213,DELIVERED
68463984,,4734,DELIVERED
68498746,16180,1259,DELIVERED
68503221,2473,428,DELIVERED
68502133,2837,3829,DELIVERED
68502637,28171,1025,DELIVERED
68501774,938,2020,DELIVERED
68501638,25651,2108,DELIVERED
68500949,14382,1441,DELIVERED
68500443,14382,713,DELIVERED
68501638,25651,2108,DELIVERED
68505432,,4087,CANCELLED
68502235,7280,1077,DELIVERED
68505353,7995,1328,DELIVERED
68501669,28072,760,DELIVERED
68502136,9509,4764,DELIVERED
68503571,12731,4035,DELIVERED
68504597,9996,917,DELIVERED
68505205,2061,840,DELIVERED
68504223,27736,1528,DELIVERED
68508615,,5561,DELIVERED
68501296,22217,1989,DELIVERED
68499019,25651,409,DELIVERED
68502108,25651,2253,DELIVERED
68504333,17703,1131,DELIVERED
68502838,29815,1531,DELIVERED
68502108,25651,2253,DELIVERED
68499019,25651,409,DELIVERED
68505307,7615,2945,DELIVERED
68505310,18862,4377,DELIVERED
68507794,13117,764,DELIVERED
68503345,888,2582,DELIVERED
68509526,30854,2275,DELIVERED
68510409,20223,1593,DELIVERED
68494925,13527,3802,DELIVERED
68503851,25651,1027,DELIVERED
68503506,25651,2564,DELIVERED
68503063,2905,2195,DELIVERED
68509517,8378,4382,DELIVERED
68508062,22499,930,DELIVERED
68501641,17322,3245,DELIVERED
68509241,25798,3780,DELIVERED
68495691,26223,2324,DELIVERED
68508715,7773,1945,DELIVERED
68508087,902,1857,DELIVERED
68506905,8940,74,DELIVERED
68513034,11941,499,DELIVERED
68507363,25409,1761,DELIVERED
68503506,25651,2564,DELIVERED
68503851,25651,1027,DELIVERED
68504076,25651,387,DELIVERED
68504054,7396,518,DELIVERED
68510176,378,769,DELIVERED
68513328,,2959,CANCELLED
68507029,24997,1903,DELIVERED
68504076,4190,387,DELIVERED
68507510,11263,4157,DELIVERED
68505583,15086,3186,DELIVERED
68509236,7258,1309,DELIVERED
68508737,23399,3447,DELIVERED
68511483,,2687,DELIVERED
68503376,7953,381,DELIVERED
68512001,12132,830,DELIVERED
68509270,15061,1947,DELIVERED
68513787,19708,3914,DELIVERED
68508960,20495,1665,DELIVERED
68506311,28165,3645,DELIVERED
68511745,28217,1309,DELIVERED
68510898,31132,3682,DELIVERED
68510957,26666,7222,DELIVERED
68503888,25651,2347,DELIVERED
68511483,,2687,DELIVERED
68503888,25651,2347,DELIVERED
68510421,1374,1160,DELIVERED
68511353,24478,2279,DELIVERED
68507720,22499,1365,DELIVERED
68512601,10614,642,DELIVERED
68511320,29669,3529,DELIVERED
68508907,28633,5183,DELIVERED
68515934,24715,1762,DELIVERED
68509303,15898,4937,DELIVERED
68511241,1405,1925,DELIVERED
68509697,4536,140,DELIVERED
68512549,10927,2356,DELIVERED
68512677,5402,1400,DELIVERED
68516039,2490,2178,DELIVERED
68509521,28165,2514,DELIVERED
68518476,16180,1027,DELIVERED
68512150,5300,1520,DELIVERED
68515492,5008,1286,DELIVERED
68516224,22115,2035,DELIVERED
68511949,7767,3045,DELIVERED
68511048,378,3468,DELIVERED
68514347,4536,2021,DELIVERED
68514142,4536,1249,DELIVERED
68515253,7773,1536,DELIVERED
68513847,28180,2228,DELIVERED
68517953,25689,6522,DELIVERED
68518486,29966,2059,DELIVERED
68512352,9043,3506,DELIVERED
68515705,29341,2257,DELIVERED
68516127,12023,847,DELIVERED
68517590,512,2920,DELIVERED
68515540,14702,3681,DELIVERED
68520179,28755,3346,DELIVERED
68516556,1395,2259,DELIVERED
68517298,18791,1985,DELIVERED
68517922,13074,1876,DELIVERED
68510250,902,2090,DELIVERED
68518740,16430,1428,DELIVERED
68517851,13117,547,DELIVERED
68517197,13117,745,DELIVERED
68515719,731,1758,DELIVERED
68515335,6974,2019,DELIVERED
68518147,25651,5395,DELIVERED
68517785,10927,2655,DELIVERED
68520264,938,1624,DELIVERED
68517671,358,3775,DELIVERED
68518779,6656,2559,DELIVERED
68515677,532,994,DELIVERED
68516856,8710,711,DELIVERED
68517054,15086,513,DELIVERED
